row_index,actual_name,guessed_name,confidence
10107,Fidelity Select Enterprise Technology Services Portfolio (FBSOX),Vanguard 500 Index Fund Admiral Shares (VFIAX),75
10107,Janus Henderson Global Technology and Innovation Fund Class T (JAGTX),Vanguard Growth Index Fund,75
8888,NYLI CBRE Real Estate Class A (CLARX),American Funds Growth Fund of America,70
8888,Davis Real Estate Fund Class A (RPFRX),Vanguard 500 Index Fund,70
3952,TCW Global Real Estate Fund Class N (TGRYX),Vanguard Total Stock Market Index Fund,75
3952,Natixis Funds Trust IV AEW Global Focused Real Estate Fund Class Y (NRFYX),Vanguard 500 Index Fund,70
360,PGIM Jennison Energy Infrastructure Fund-Class Z (PRPZX),Vanguard Balanced Index Fund,75
360,Invesco SteelPath MLP Select 40 Fund Class A (MLPFX),Vanguard Wellington Fund,75
3781,American Century Global Real Estate Fund C Class (ARYTX),American Funds Growth Fund of America,75
3781,PGIM Select Real Estate Fund- Class A (SREAX),American Funds Growth Fund of America,75
5349,Virtus KAR Health Sciences Fund Class A (RAGHX),Vanguard 500 Index Fund Admiral Shares,65
5349,Alger Health Sciences Fund Class C (AHSCX),American Funds Washington Mutual Investors Fund,75
4060,Eaton Vance Worldwide Health Sciences Fund Class A (ETHSX),Vanguard Wellington Fund,75
4060,Perkins Discovery Fund (PDFDX),Vanguard 500 Index Fund Admiral Shares,85
9429,DWS RREEF Real Estate Securities Fund - Class A (RRRAX),Vanguard 500 Index Fund,70
9429,Principal Real Estate Securities Fund Institutional Class (PIREX),Vanguard 500 Index Fund,75
7732,Dunham Real Estate Stock Fund Class N (DNREX),Vanguard 500 Index Fund Investor Shares (VFINX),75
7732,Rydex Real Estate Fund Class H (RYHRX),Vanguard Growth Index Fund,65
2471,Emerald Finance and Banking Innovation Fund - C (HSSCX),Fidelity Contrafund,75
2471,Hennessy Large Cap Financial Fund Investor Class (HLFNX),Vanguard 500 Index Fund,75
1954,Rydex Financial Services Fund Class A (RYFNX),Fidelity Magellan Fund,75
1954,John Hancock Regional Bank Fund Class I (JRBFX),Vanguard 500 Index Fund,75
10950,DWS Digital Horizons Fund - Class A (COMAX),American Funds Growth Fund of America,75
10950,T. Rowe Price Global Technology Fund (PRGTX),Vanguard Growth Index Fund,75
2957,Third Avenue International Real Estate Value Fund Founders Shares (REIFX),Vanguard 500 Index Fund,75
2957,PGIM Global Real Estate Fund- Class Z (PURZX),Vanguard 500 Index Fund,75
2791,Easterly Global Real Estate Fund Class I (JARIX),Vanguard Total Stock Market Index Fund,75
2791,PGIM Global Real Estate Fund- Class C (PURCX),American Funds Investment Company of America,75
8584,Principal Real Estate Securities Fund Class A (PRRAX),American Funds Investment Company of America,70
8584,Nomura Real Estate Securities Fund Class A (IRSAX),American Funds Growth Fund of America,75
11410,Victory RS Science and Technology Fund Class A (RSIFX),Fidelity Contrafund,75
11410,Rydex Electronics Fund Class H (RYSAX),Fidelity Contrafund,70
5770,The Hartford Healthcare Fund Class Y (HGHYX),Vanguard Wellesley Income Fund,75
5770,Live Oak Health Sciences Fund (LOGSX),Vanguard 500 Index Fund Admiral Shares,75
8108,Columbia Real Estate Equity Fund Class A (CREAX),American Funds Growth Fund of America,75
8108,PGIM US Real Estate Fund- Class Z (PJEZX),Vanguard Total Stock Market Index Fund,85
8048,Knights of Columbus Real Estate Fund I Shares (KCRIX),Vanguard Total Stock Market Index Fund,75
5268,Eaton Vance Worldwide Health Sciences Fund Class I (EIHSX),Vanguard Wellesley Income Fund,75
5268,Lord Abbett Health Care Fund Class A (LHCAX),Vanguard Growth Index Fund,70
11648,BlackRock Technology Opportunities Fund Investor C Shares (BGSCX),Fidelity Contrafund,75
11648,Nomura Science and Technology Fund Class A (WSTAX),Fidelity Contrafund,75
10022,Rydex Internet Fund Class H (RYIAX),Fidelity Contrafund,75
2439,Hennessy Large Cap Financial Fund Institutional Class (HILFX),Vanguard Growth Index Fund,75
2439,Rydex Banking Fund Class A (RYBKX),American Funds Growth Fund of America,75
8019,Neuberger Real Estate Fund A Class (NREAX),American Funds Growth Fund of America,70
8019,NAA Risk Managed Real Estate Fund Institutional (GURIX),Vanguard 500 Index Fund,65
11072,Rydex Internet Fund Class Investor (RYIIX),Vanguard Growth Index Fund,70
1883,T. Rowe Price Financial Services Fund (PRISX),Vanguard 500 Index Fund,85
1883,Rydex Banking Fund Class H (RYKAX),Fidelity Contrafund,75
2564,MFS Global Real Estate Fund Class C (MGLCX),Fidelity Contrafund,75
2564,PGIM Select Real Estate Fund- Class Z (SREZX),Vanguard 500 Index Fund,75
8060,Goldman Sachs Real Estate Securities Fund Class A (GREAX),American Funds Growth Fund of America,75
3431,Cohen & Steers International Realty Fund Class I (IRFIX),Vanguard Growth Index Fund,75
3431,MFS Global Real Estate Fund Class I (MGLIX),Vanguard 500 Index Fund,75
11949,Rydex Utilities Fund Class C (RYCUX),American Funds Growth Fund of America,75
11949,Rydex Utilities Fund Class H (RYAUX),Vanguard Wellesley Income Fund,75
5523,Rydex Health Care Fund Class C (RYHCX),American Funds Washington Mutual Investors Fund,70
5523,Rydex Biotechnology Fund Class C (RYCFX),Vanguard Wellington Fund,75
5851,Principal Global Listed Infrastructure Fund Institutional Class (PGSLX),Vanguard 500 Index Fund,75
5851,Nuveen Global Infrastructure Fund Class C (FGNCX),American Funds Capital Income Builder A,75
5587,The Hartford Healthcare Fund Class A (HGHAX),American Funds Capital Income Builder,70
5587,Virtus KAR Health Sciences Fund Class C (RCGHX),Invesco High Yield Fund,65
2963,Invesco Global Real Estate Income Fund Class A (ASRAX),American Funds Washington Mutual Investors Fund,75
6672,BNY Mellon Natural Resources Fund Class A (DNLAX),American Funds Growth Fund of America,65
6672,ICON Natural Resources and Infrastructure Fund Institutional (ICBMX),Vanguard Growth Index Fund,75
10378,Putnam Global Technology Fund Class A (PGTAX),Fidelity Contrafund,75
10378,Columbia Seligman Technology and Information Fund Class C (SCICX),Fidelity Contrafund,85
6634,BNY Mellon Natural Resources Fund Class C (DLDCX),American Funds Investment Company of America,75
6634,Nomura Natural Resources Fund Class A (IGNAX),American Funds Washington Mutual Investors Fund,65
7213,Invesco Real Estate Fund Class A (IARAX),American Funds Washington Mutual Investors Fund,75
7213,PIMCO RealEstateRealReturn Strategy Fund Class C (PETCX),American Funds Growth Fund of America,70
5061,Rydex Biotechnology Fund Class A (RYBOX),American Funds Washington Mutual Investors Fund,75
5061,Fidelity Select Medical Technology and Devices Portfolio (FSMEX),Vanguard 500 Index Fund,75
11493,MFS Technology Fund Class I (MTCIX),Vanguard Growth Index Fund,75
11493,Columbia Global Technology Growth Fund Class A (CTCAX),Vanguard 500 Index Fund,75
3755,Schwab Global Real Estate Fund<sup>&trade;</sup> (SWASX),Vanguard 500 Index Fund,75
3755,BNY Mellon Developed Markets Real Estate Securities Fund - Class A (DRLAX),American Funds Growth Fund of America,75
9393,Virtus Duff & Phelps Real Estate Securities Fund Class A (PHRAX),American Funds Growth Fund of America,75
9393,Nuveen Real Estate Securities Select Fund A Class (TCREX),American Funds Growth Fund of America,75
7379,Sterling Capital Real Estate Fund C (STMOX),Vanguard 500 Index Fund,75
7379,Rydex Real Estate Fund Class A (RYREX),American Funds Growth Fund of America,70
9384,Cromwell CenterSquare Real Estate Fund Investor Class (MRESX),Vanguard 500 Index Fund,85
8872,Neuberger Real Estate Fund Trust Class (NBRFX),Vanguard 500 Index Fund,75
8872,SEI Institutional Managed Trust Real Estate Fund Class F (SETAX),Vanguard 500 Index Fund,75
11012,Fidelity Select Technology Portfolio (FSPTX),Vanguard 500 Index Fund,75
11012,Janus Henderson Global Technology and Innovation Fund Class I (JATIX),Fidelity Contrafund,75
8047,NYLI CBRE Real Estate Class I (CRARX),Vanguard 500 Index Fund,75
8047,"LDR Real Estate Value-Opportunity Fund, P Class (HLPPX)",Vanguard 500 Index Fund,70
10437,Rydex Internet Fund Class C (RYICX),Fidelity Contrafund,75
10437,Red Oak Technology Select Fund (ROGSX),Vanguard 500 Index Fund,85
8251,Nuveen Real Estate Securities Fund Class C (FRLCX),American Funds Growth Fund of America,75
8251,PGIM US Real Estate Fund- Class A (PJEAX),Fidelity Blue Chip Growth Fund,75
9185,Virtus Duff & Phelps Real Estate Securities Fund Class I (PHRIX),Vanguard 500 Index Fund,75
10303,Firsthand Technology Opportunities Fund (TEFQX),Vanguard 500 Index Fund,70
10303,Rydex Electronics Fund Class Investor (RYSIX),Fidelity Contrafund,75
9852,Fidelity Select Tech Hardware Portfolio (FDCPX),Vanguard 500 Index Fund,75
2054,Rydex Financial Services Fund Class C (RYFCX),Fidelity Contrafund,70
2054,1919 Financial Services Fund Class I (LMRIX),Vanguard 500 Index Fund,75
4099,Vanguard Health Care Fund Investor Shares (VGHCX),Vanguard Wellesley Income Fund,75
2019,Fidelity Select Insurance Portfolio (FSPCX),Vanguard Wellesley Income Fund,75
2422,Hennessy Small Cap Financial Fund Investor Class (HSFNX),Vanguard 500 Index Fund,75
9625,T. Rowe Price Real Estate Fund (TRREX),Vanguard 500 Index Fund,75
483,Invesco SteelPath MLP Alpha Fund Class C (MLPGX),Vanguard Wellington Fund,75
483,PGIM Jennison Energy Infrastructure Fund-Class C (PRPCX),American Funds Capital Income Builder,75
1807,Gabelli Gold Fund Class C (GLDCX),Vanguard Wellesley Income Fund,75
1807,Gabelli Gold Fund Class AAA (GOLDX),Vanguard Wellesley Income Fund,85
6504,ICON Natural Resources and Infrastructure Fund Investor Class (ICBAX),Vanguard 500 Index Fund,75
6504,PGIM Jennison Natural Resources Fund - Class C (PNRCX),Vanguard Wellington Fund,75
4102,PGIM Jennison Health Sciences Fund- Class A (PHLAX),American Funds American Balanced Fund,75
5616,T. Rowe Price Health Sciences Fund (PRHSX),Vanguard Wellesley Income Fund,85
2412,Emerald Finance and Banking Innovation Fund - Investor (FFBFX),Fidelity Contrafund,75
2412,Rydex Banking Fund Class Investor (RYKIX),Fidelity Contrafund,75
6326,Fidelity Water Sustainability Fund (FLOWX),Vanguard Growth Index Fund Admiral Shares,75
6326,Aegis Value Fund Class I (AVALX),Vanguard Wellesley Income Fund,85
3274,Northern Multi-Manager Global Real Estate Fund (NMMGX),Vanguard 500 Index Fund,70
9084,NAA Risk Managed Real Estate Fund C (GURCX),American Funds Growth Fund of America,65
10385,T. Rowe Price Science and Technology Fund (PRSCX),Fidelity Contrafund,75
8354,BlackRock Real Estate Securities Fund Investor C Shares (BCREX),Vanguard 500 Index Fund,70
856,Virtus Duff & Phelps Select MLP and Energy Fund Class A (VLPAX),Vanguard Growth Index Fund,65
856,Transamerica Energy Infrastructure Class I (TMLPX),Vanguard Balanced Index Fund,75
304,NYLI Cushing MLP Premier Class C (CSHCX),Vanguard Wellington Fund,70
304,Invesco SteelPath MLP Alpha Plus Fund Class C (MLPMX),Vanguard Wellington Fund,75
1530,Victory Precious Metals and Minerals Fund (USAGX),Vanguard 500 Index Fund,75
1530,Franklin Gold and Precious Metals Fund Class A (FKRCX),Vanguard Wellington Fund,75
385,Invesco SteelPath MLP Income Fund Class A (MLPDX),Vanguard Wellington Fund,75
3482,Invesco Global Real Estate Fund Class A (AGREX),American Funds Growth Fund of America,70
3499,Natixis Funds Trust IV AEW Global Focused Real Estate Fund Class C (NRCFX),American Funds Growth Fund of America,75
3499,Brookfield Global Listed Real Estate Fund Class C (BLRCX),Vanguard 500 Index Fund Investor Shares,70
9643,PGIM US Real Estate Fund- Class C (PJECX),Vanguard 500 Index Fund Admiral Shares (VFIAX),75
8802,American Century Real Estate Fund Investor Class (REACX),Vanguard 500 Index Fund,75
70,Fidelity Select Automotive Portfolio (FSAVX),Vanguard Growth Index Fund,75
70,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Vanguard 500 Index Fund,75
8005,PGIM Real Estate Income Fund- Class C (PRKCX),American Funds Growth Fund of America,70
6253,DWS RREEF Global Infrastructure Fund - Class A (TOLLX),American Funds Washington Mutual Investors Fund,70
6253,"Cohen & Steers Global Infrastructure Fund, Inc. Class A (CSUAX)",American Funds Washington Mutual Investors Fund,70
518,Eagle Energy Infrastructure Fund Class I Shares (EGLIX),Vanguard Balanced Index Fund,75
10857,BlackRock Technology Opportunities Fund Service Shares (BSTSX),Vanguard Growth Index Fund,75
10857,Virtus Zevenbergen Technology Fund Class C (RCGTX),Vanguard 500 Index Fund Admiral Shares (VFIAX),75
3048,Natixis Funds Trust IV AEW Global Focused Real Estate Fund Class A (NRFAX),American Funds Growth Fund of America,60
4028,Franklin Biotechnology Discovery Fund Class A (FBDIX),Vanguard Wellington Fund,75
5781,Rydex Transportation Fund Class C (RYCNX),Fidelity Magellan Fund,65
5781,Fidelity  Select Industrials Portfolio (FIDRX),Vanguard Growth Index Fund,75
6067,Northern Multi-Manager Global Listed Infrastructure Fund (NMFIX),Vanguard 500 Index Fund,75
6067,JHancock Infrastructure Fund Class A (JEEBX),Vanguard Wellesley Income Fund,75
1562,First Eagle Gold Fund Class A (SGGDX),Vanguard Wellington Fund,70
1562,EuroPac Gold Fund Class A (EPGFX),Vanguard Growth Index Fund,65
9148,Nuveen Real Estate Securities Select Fund R6 Class (TIREX),Vanguard 500 Index Fund,85
6408,BlackRock Natural Resources Trust Investor C Shares (MCGRX),American Funds Growth Fund of America,65
6408,Victory Global Energy Transition Fund Class Y (RSNYX),Vanguard 500 Index Fund,85
4540,Invesco Health Care Fund Class C (GTHCX),American Funds Washington Mutual Investors Fund,75
4540,Eventide Healthcare & Life Sciences Fund CLASS N SHARES (ETNHX),Vanguard Total Stock Market Index Fund,75
9003,Neuberger Real Estate Fund I Class (NBRIX),Vanguard 500 Index Fund,70
10382,Eventide Exponential Technologies Fund Class I Share (ETIEX),Vanguard Growth Index Fund,70
10760,Rydex Internet Fund Class A (RYINX),Fidelity Contrafund,75
10760,Black Oak Emerging Technology Fund (BOGSX),Vanguard 500 Index Fund,75
5288,BlackRock Health Sciences Opportunities Portfolio Investor C Shares (SHSCX),Vanguard Wellesley Income Fund,75
5288,Putnam Global Health Care Fund Class A (PHSTX),Vanguard Wellesley Income Fund,75
9336,Franklin Real Estate Securities Fund Class A (FREEX),Vanguard 500 Index Fund,70
9336,Cohen & Steers Realty Shares Fund Class A (CSJAX),American Funds Growth Fund of America,75
9793,Jacob Internet Investor Class (JAMFX),Vanguard Growth Index Fund,75
1010,Vanguard Energy Fund Investor Shares (VGENX),Vanguard Wellesley Income Fund,75
1010,Rydex Energy Fund Class Investor (RYEIX),Vanguard Wellesley Income Fund,75
19,Fidelity Select Telecommunications Portfolio (FSTCX),Vanguard Wellesley Income Fund,75
19,Rydex Telecommunications Fund Class H (RYMAX),Vanguard Wellington Fund,70
1383,VanEck International Investors Gold Fund Class C (IIGCX),Vanguard 500 Index Fund,65
2802,iShares Developed Real Estate Index Fund Investor A Shares (BARDX),Vanguard 500 Index Fund,75
2802,PGIM Global Real Estate Fund- Class A (PURAX),American Funds Growth Fund of America,75
7754,Principal Real Estate Securities Fund Class C (PRCEX),Vanguard 500 Index Fund,75
7754,Rydex Real Estate Fund Class C (RYCRX),American Funds Growth Fund of America,65
2611,Third Avenue Real Estate Value Fund Investor Class (TVRVX),Vanguard Growth Index Fund,75
11868,MFS Utilities Fund Class C (MMUCX),Vanguard Wellington Fund,75
11868,Rydex Utilities Fund Class A (RYUTX),Fidelity Low-Priced Stock Fund,75
6978,Franklin Real Estate Securities Fund Class C (FRRSX),American Funds Investment Company of America,75
6978,Baron Real Estate Fund Institutional Shares (BREIX),Vanguard Growth Index Fund,75
11909,Allspring Utility and Telecommunications Fund - Class A (EVUAX),Vanguard Wellesley Income Fund,75
11909,Gabelli Utilities Fund Class A (GAUAX),American Funds Washington Mutual Investors Fund,75
7132,PGIM Real Estate Income Fund- Class Z (PRKZX),Vanguard 500 Index Fund,75
4092,Baron Health Care Fund Institutional Shares (BHCHX),Vanguard Total Stock Market Index Fund,75
4092,Franklin Biotechnology Discovery Fund Class C (FBTDX),Fidelity Contrafund,85
8470,NYLI CBRE Real Estate Class C (CRCRX),Vanguard 500 Index Fund,75
8470,BlackRock Real Estate Securities Fund Institutional Shares (BIREX),Vanguard 500 Index Fund,70
2473,Rydex Financial Services Fund Class H (RYFAX),Vanguard Growth Index Fund,75
2495,Easterly Global Real Estate Fund Class C (JACRX),American Funds Growth Fund of America,70
744,Center Coast Brookfield Midstream Focus Fund Class C (CCCCX),Vanguard Wellesley Income Fund,70
744,Virtus Duff & Phelps Select MLP and Energy Fund Class C (VLPCX),Vanguard 500 Index Fund Admiral Shares,65
10979,BNY Mellon Technology Growth Fund Class C (DTGCX),Fidelity Contrafund,65
7438,Cohen & Steers Realty Shares Fund Class I (CSJIX),Vanguard 500 Index Fund,75
7438,PIMCO RealEstateRealReturn Strategy Fund I-3 (PNRNX),Vanguard 500 Index Fund,85
4914,Baron Health Care Fund Retail Shares (BHCFX),Vanguard Total Stock Market Index Fund,75
3487,"Cohen & Steers Global Realty Shares, Inc. Class I (CSSPX)",Vanguard 500 Index Fund,75
3487,Janus Henderson Global Real Estate Fund Class T (JERTX),Vanguard 500 Index Fund,75
11817,MFS Utilities Fund Class A (MMUFX),Vanguard 500 Index Fund,75
4641,PGIM Jennison Health Sciences Fund- Class C (PHLCX),Vanguard Wellington Fund,75
200,Westwood Salient Mlp & Energy Infrastructure Fund C Class Shares (SMFPX),American Funds Capital World Growth and Income Fund,75
1351,First Eagle Gold Fund Class C (FEGOX),Vanguard Wellington Fund,75
1351,VanEck International Investors Gold Fund Class A (INIVX),Vanguard 500 Index Fund,75
5527,Rydex Health Care Fund Class A (RYHEX),American Funds Capital Income Builder A,75
6073,Virtus Duff & Phelps Global Infrastructure Fund Class C (PGUCX),Vanguard 500 Index Fund Admiral Shares,70
6073,PGIM Jennison Global Infrastructure Fund- Class C (PGJCX),Vanguard Wellesley Income Fund,75
8944,Goldman Sachs Real Estate Securities Fund Class C (GRECX),American Funds Growth Fund of America,70
11218,MFS Technology Fund Class C (MTCCX),Fidelity Contrafund,75
1579,American Century Global Gold Fund C Class (AGYCX),Vanguard Wellington Fund,70
2301,Rydex Financial Services Fund Class Investor (RYFIX),Vanguard 500 Index Fund,75
2301,PGIM Jennison Financial Services Fund- Class A (PFSAX),Vanguard Growth Index Fund,75
10242,Rydex Electronics Fund Class A (RYELX),Fidelity Contrafund,75
6818,Rydex Basic Materials Fund Class Investor (RYBIX),Vanguard 500 Index Fund,75
5583,DWS Health and Wellness Fund - Class Inst (SUHIX),Vanguard Wellesley Income Fund,75
2271,Fidelity Select Banking Portfolio (FSRBX),Vanguard 500 Index Fund,75
6568,Rydex Basic Materials Fund Class H (RYBAX),Vanguard 500 Index Fund,75
4111,Rydex Health Care Fund Class Investor (RYHIX),Vanguard Wellesley Income Fund,70
8254,Virtus Duff & Phelps Real Estate Securities Fund Class C (PHRCX),American Funds Washington Mutual Investors Fund,75
1768,Sprott Gold Equity Fund Investor Class (SGDLX),Vanguard Wellington Fund,75
1768,Allspring Precious Metals Fund - Class C (EKWCX),Vanguard Wellington Fund,75
1369,Fidelity Select Gold Portfolio (FSAGX),Vanguard 500 Index Fund,75
1369,Rydex Precious Metals Fund Class A (RYMNX),Fidelity Contrafund,75
9289,BlackRock Real Estate Securities Fund Investor A Shares (BAREX),Vanguard 500 Index Fund,75
9253,Neuberger Real Estate Fund C Class (NRECX),American Funds Investment Company of America,75
4881,Eventide Healthcare & Life Sciences Fund CLASS C SHARES (ETCHX),Fidelity Contrafund,75
373,Goldman Sachs MLP Energy Infrastructure Fund Class C (GLPCX),Vanguard Dividend Growth Fund,75
3635,T. Rowe Price Global Real Estate Fund (TRGRX),Vanguard 500 Index Fund,75
1399,U.S. Global Investors World Precious Minerals Fund (UNWPX),Vanguard Wellesley Income Fund Investor Shares,85
1399,Gabelli Gold Fund Class A (GLDAX),Vanguard Wellington Fund,70
1002,Catalyst Energy Infrastructure Fund Class A (MLXAX),Vanguard Wellesley Income Fund,75
1002,Catalyst Energy Infrastructure Fund Class C (MLXCX),Vanguard Wellington Fund,75
10889,BlackRock Technology Opportunities Fund Investor A Shares (BGSAX),American Funds Growth Fund of America,85
1078,"Cohen & Steers Future of Energy Fund, Inc. Class I (MLOIX)",Vanguard Balanced Index Fund,75
1078,Rydex Energy Fund Class A (RYENX),Fidelity Magellan Fund,70
8361,Invesco Real Estate Fund Class C (IARCX),Fidelity Magellan Fund,75
1139,Integrity Mid-North American Resources Fund Class I (ICWIX),Vanguard 500 Index Fund,85
1139,BlackRock Energy Opportunities Fund Investor C Class (BACCX),Vanguard Wellesley Income Fund,75
11400,Rydex Technology Fund Class H (RYTAX),Vanguard Growth Index Fund,75
6929,BlackRock Natural Resources Trust Investor A Shares (MDGRX),American Funds Growth Fund of America,70
6929,VanEck Global Resources Fund - Class A (GHAAX),American Funds Investment Company of America,75
9244,Fidelity Real Estate Investment Portfolio (FRESX),Vanguard 500 Index Fund,75
10936,PGIM Jennison Technology Fund Class Z (PGKZX),Fidelity Growth Company Fund,75
6349,Rydex Basic Materials Fund Class C (RYBCX),American Funds Growth Fund of America,75
6349,Goehring & Rozencwajg Resources Fund Institutional Class (GRHIX),Vanguard 500 Index Fund,75
8990,Sterling Capital Real Estate Fund Institutional (STMDX),Vanguard 500 Index Fund,75
6660,Victory Global Energy Transition Fund Class A (RSNRX),American Funds Washington Mutual Investors Fund,75
3855,American Century Global Real Estate Fund Investor Class (ARYVX),Vanguard Total Stock Market Index Fund,75
468,Hennessy Midstream Fund Institutional Class (HMSIX),Vanguard Wellesley Income Fund,70
468,Goldman Sachs MLP Energy Infrastructure Fund Class A (GLPAX),Vanguard Wellington Fund,75
7058,Baron Real Estate Income Fund Institutional Shares (BRIIX),Vanguard Growth Index Fund,75
7796,JHancock Real Estate Securities Fund Class I (JABGX),Vanguard 500 Index Fund,75
7796,PIMCO RealEstateRealReturn Strategy Fund Class A (PETAX),Vanguard 500 Index Fund Admiral Shares,75
10692,DWS Science and Technology Fund - Class Inst (KTCIX),Vanguard 500 Index Fund,85
6757,BlackRock Natural Resources Trust Institutional Shares (MAGRX),Vanguard 500 Index Fund,75
2316,RMB Mendon Financial Services Fund Class A (RMBKX),Fidelity Contrafund,75
5766,DWS Health and Wellness Fund - Class C (SUHCX),Vanguard Wellesley Income Fund Investor Shares,75
5766,DWS Health and Wellness Fund - Class A (SUHAX),Vanguard Wellesley Income Fund,80
10919,Rydex Technology Fund Class A (RYTHX),Fidelity Contrafund,75
2968,Cohen & Steers International Realty Fund Class A (IRFAX),Fidelity Contrafund,70
5397,The Hartford Healthcare Fund Class C (HGHCX),Vanguard Wellesley Income Fund,75
8949,abrdn Real Estate Fund Institutional Class (AIGYX),Vanguard 500 Index Fund,85
4122,Nomura Healthcare Fund Class A (DLHAX),Vanguard Wellesley Income Fund,75
11643,MFS Technology Fund Class A (MTCAX),American Funds Growth Fund of America,75
11643,Virtus Zevenbergen Technology Fund Institutional Class (DRGTX),Vanguard 500 Index Fund,85
6769,Calvert Global Water Fund Class I (CFWIX),Vanguard 500 Index Fund,75
4193,Alger Health Sciences Fund Class Z (AHSZX),Vanguard Wellesley Income Fund,70
4193,Eventide Healthcare & Life Sciences Fund CLASS I SHARES (ETIHX),Vanguard 500 Index Fund,75
8025,JHancock Real Estate Securities Fund Class A (JYEBX),American Funds Growth Fund of America,70
379,Westwood Salient Mlp & Energy Infrastructure Fund A Class Shares (SMAPX),Vanguard Wellington Fund,70
1188,Rydex Energy Services Fund Class Investor (RYVIX),Vanguard Explorer Fund,75
1188,Rydex Energy Fund Class C (RYECX),American Funds Capital Income Builder,75
